stage,best_ckpt_pt_path,best_ckpt_pt_file_size_bytes,best_ckpt_pt_file_size_mb,best_ckpt_pt_raw_weight_bytes,best_ckpt_pt_raw_weight_mb,best_ckpt_pt_param_count,best_ckpt_pt_format,last_ckpt_pt_path,last_ckpt_pt_file_size_bytes,last_ckpt_pt_file_size_mb,last_ckpt_pt_raw_weight_bytes,last_ckpt_pt_raw_weight_mb,last_ckpt_pt_param_count,last_ckpt_pt_format,best_deploy_pt_path,best_deploy_pt_file_size_bytes,best_deploy_pt_file_size_mb,best_deploy_pt_raw_weight_bytes,best_deploy_pt_raw_weight_mb,best_deploy_pt_param_count,best_deploy_pt_format
s1_fp32,/home/namnguyen/projects/MobileAI/bbox_sr3/student/runs_mobileone_32_8_ver2_debug_branch_5/balanced/ckpt_best_s1_fp32.pt,6668983,6.360037803649902,1571244,1.4984550476074219,392755,export_pt,/home/namnguyen/projects/MobileAI/bbox_sr3/student/runs_mobileone_32_8_ver2_debug_branch_5/balanced/ckpt_last_s1_fp32.pt,6668983,6.360037803649902,1571244,1.4984550476074219,392755,export_pt,,,,,,,
s2_fp32,/home/namnguyen/projects/MobileAI/bbox_sr3/student/runs_mobileone_32_8_ver2_debug_branch_5/balanced/ckpt_best_s2_fp32.pt,6668983,6.360037803649902,1571244,1.4984550476074219,392755,export_pt,/home/namnguyen/projects/MobileAI/bbox_sr3/student/runs_mobileone_32_8_ver2_debug_branch_5/balanced/ckpt_last_s2_fp32.pt,6668983,6.360037803649902,1571244,1.4984550476074219,392755,export_pt,/home/namnguyen/projects/MobileAI/bbox_sr3/student/runs_mobileone_32_8_ver2_debug_branch_5/balanced/ckpt_best_s2_deploy.pt,339359.0,0.3236379623413086,330732.0,0.3154106140136719,82683.0,export_pt
s3_qat,/home/namnguyen/projects/MobileAI/bbox_sr3/student/runs_mobileone_32_8_ver2_debug_branch_5/balanced/ckpt_best_s3_qat.pt,1437031,1.3704595565795898,331596,0.3162345886230469,82851,export_pt,/home/namnguyen/projects/MobileAI/bbox_sr3/student/runs_mobileone_32_8_ver2_debug_branch_5/balanced/ckpt_last_s3_qat.pt,1437031,1.3704595565795898,331596,0.3162345886230469,82851,export_pt,/home/namnguyen/projects/MobileAI/bbox_sr3/student/runs_mobileone_32_8_ver2_debug_branch_5/balanced/ckpt_best_s3_qat_deploy.pt,339271.0,0.32355403900146484,330732.0,0.3154106140136719,82683.0,export_pt
