stage,best_epoch,best_psnr_sr_rgb_sh0,best_psnr_sr_rgb_sh3,best_psnr_sr_y_sh0,best_psnr_sr_y_sh3,best_ssim_sr_rgb_sh0,best_ssim_sr_rgb_sh3,train_loss_at_best,lr_at_best,best_ckpt_pt_path,best_ckpt_pt_file_size_bytes,best_ckpt_pt_file_size_mb,best_ckpt_pt_raw_weight_bytes,best_ckpt_pt_raw_weight_mb,best_ckpt_pt_param_count,best_ckpt_pt_format,last_ckpt_pt_path,last_ckpt_pt_file_size_bytes,last_ckpt_pt_file_size_mb,last_ckpt_pt_raw_weight_bytes,last_ckpt_pt_raw_weight_mb,last_ckpt_pt_param_count,last_ckpt_pt_format,best_deploy_pt_path,best_deploy_pt_file_size_bytes,best_deploy_pt_file_size_mb,best_deploy_pt_raw_weight_bytes,best_deploy_pt_raw_weight_mb,best_deploy_pt_param_count,best_deploy_pt_format
s1_fp32,588,30.261819927899943,,30.399476347808868,,0.8623869854211808,,0.0228164060041308,1.023503616996324e-06,/home/namnguyen/projects/MobileAI/bbox_sr3/student/runs_mobileone_32_8_ver2_debug_branch_5/balanced/ckpt_best_s1_fp32.pt,6668983,6.360037803649902,1571244,1.4984550476074219,392755,export_pt,/home/namnguyen/projects/MobileAI/bbox_sr3/student/runs_mobileone_32_8_ver2_debug_branch_5/balanced/ckpt_last_s1_fp32.pt,6668983,6.360037803649902,1571244,1.4984550476074219,392755,export_pt,,,,,,,
s2_fp32,198,30.27649474680682,,30.41231634047297,,0.8627521473169327,,0.4816676378250122,1.875e-06,/home/namnguyen/projects/MobileAI/bbox_sr3/student/runs_mobileone_32_8_ver2_debug_branch_5/balanced/ckpt_best_s2_fp32.pt,6668983,6.360037803649902,1571244,1.4984550476074219,392755,export_pt,/home/namnguyen/projects/MobileAI/bbox_sr3/student/runs_mobileone_32_8_ver2_debug_branch_5/balanced/ckpt_last_s2_fp32.pt,6668983,6.360037803649902,1571244,1.4984550476074219,392755,export_pt,/home/namnguyen/projects/MobileAI/bbox_sr3/student/runs_mobileone_32_8_ver2_debug_branch_5/balanced/ckpt_best_s2_deploy.pt,339359.0,0.3236379623413086,330732.0,0.3154106140136719,82683.0,export_pt
s3_qat,109,30.134976118233443,,30.31537275579596,,0.8589117079973221,,0.3469141791621223,5e-07,/home/namnguyen/projects/MobileAI/bbox_sr3/student/runs_mobileone_32_8_ver2_debug_branch_5/balanced/ckpt_best_s3_qat.pt,1437031,1.3704595565795898,331596,0.3162345886230469,82851,export_pt,/home/namnguyen/projects/MobileAI/bbox_sr3/student/runs_mobileone_32_8_ver2_debug_branch_5/balanced/ckpt_last_s3_qat.pt,1437031,1.3704595565795898,331596,0.3162345886230469,82851,export_pt,/home/namnguyen/projects/MobileAI/bbox_sr3/student/runs_mobileone_32_8_ver2_debug_branch_5/balanced/ckpt_best_s3_qat_deploy.pt,339271.0,0.32355403900146484,330732.0,0.3154106140136719,82683.0,export_pt
